241.0,[8.337034766251841e-5,0.0,-0.0007031767760660539,0.12440371695750702,0.0]
242.0,[4.64221254029932e-5,0.0,-0.0005585339598231561,0.10179993144750671,0.0]
243.0,[4.8316906031686806e-5,0.0,-0.0005631880147423848,0.10258437062778586,0.0]
244.0,[8.431773797686522e-5,0.0,-0.0007032596727185592,0.12441319086065049,0.0]
245.0,[8.242295734817161e-5,0.0,-0.000703851791665026,0.12445392864416739,0.0]
246.0,[8.905468954859921e-5,0.0,-0.0007088374331942759,0.12520426177313007,0.0]
247.0,[5.1159076974727207e-5,0.0,-0.0005637090794152755,0.10262037145973105,0.0]
248.0,[4.9264296346033604e-5,0.0,-0.0005634130199420422,0.10262226624035974,0.0]
249.0,[4.736951571734001e-5,0.0,-0.0005583444817602867,0.10181319491190757,0.0]
250.0,[4.736951571734001e-5,0.0,-0.0005582852698656401,0.10180561578939279,0.0]
251.0,[4.64221254029932e-5,0.0,-0.0005580839494238414,0.10177719407996239,0.0]
252.0,[4.8316906031686806e-5,0.0,-0.0005580839494238414,0.10177719407996239,0.0]
253.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
254.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177624668964805,0.0]
255.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
256.0,[4.64221254029932e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
257.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
258.0,[-1.8947806286936002e-6,0.0,-0.00041537144094642525,0.07824117650064484,0.0]
259.0,[4.64221254029932e-5,0.0,-0.0005576220966455974,0.10174782498021764,0.0]
260.0,[4.64221254029932e-5,0.0,-0.0005569233962887665,0.10099464968031194,0.0]
261.0,[4.8316906031686806e-5,0.0,-0.0005580247375291947,0.10176487800587589,0.0]
