4.0,[-0.00018189894035458562,-0.9570759592255247,-0.03689111830832796,0.14101620611957816,1.5930766039673472]
60.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706617897289105,0.0]
61.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706617897289105,0.0]
62.0,[0.0002472688720445148,0.0,-8.706516988847095e-5,0.14510893227755634,0.0]
63.0,[0.0002472688720445148,0.0,-8.785860927673639e-5,0.14515724918358802,0.0]
64.0,[0.00016958286626807723,0.0,-3.745744455348662e-5,0.11842189451272132,0.0]
65.0,[0.00016958286626807723,0.0,-3.6841640849161195e-5,0.11838589368077615,0.0]
66.0,[0.00016674069532503683,0.0,-3.467448550509289e-5,0.11714575975929618,0.0]
67.0,[0.0002472688720445148,0.0,-8.72191208145523e-5,0.1451752495995606,0.0]
68.0,[0.00024821626235886163,0.0,-8.787045165566573e-5,0.1451629335254741,0.0]
69.0,[0.00017053025658242402,0.0,-3.745744455348662e-5,0.11842284190303567,0.0]
70.0,[0.00016958286626807723,0.0,-3.685348322809053e-5,0.11838684107109049,0.0]
71.0,[0.00016579330501069003,0.0,-3.4698170262951564e-5,0.11714481236898183,0.0]
72.0,[0.00016674069532503683,0.0,-3.4627115989375554e-5,0.11713060151426663,0.0]
73.0,[0.00016674069532503683,0.0,-3.453237695794087e-5,0.11706902114383409,0.0]
74.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.11706996853414844,0.0]
75.0,[0.00016674069532503683,0.0,-3.453237695794087e-5,0.1170671263632054,0.0]
76.0,[0.00016389852438199642,0.0,-3.453237695794087e-5,0.1170671263632054,0.0]
77.0,[0.00024821626235886163,0.0,-8.705332750954162e-5,0.145107984887242,0.0]
78.0,[0.00024632148173016805,0.0,-8.785860927673639e-5,0.14515819657390236,0.0]
79.0,[0.00017053025658242402,0.0,-3.745744455348662e-5,0.11842189451272132,0.0]
80.0,[0.00016768808563938362,0.0,-3.686532560701987e-5,0.11838589368077615,0.0]
81.0,[0.00016484591469634322,0.0,-3.4698170262951564e-5,0.1171438649786675,0.0]
82.0,[0.00016674069532503683,0.0,-3.4638958368304884e-5,0.11713060151426663,0.0]
83.0,[7.38964445190504e-5,0.0,1.7763568394002505e-6,0.08869468122914742,0.0]
84.0,[7.294905420470361e-5,0.0,2.297421512290991e-6,0.088641627371544,0.0]
85.0,[0.00016105635343895602,0.0,-3.165467887811246e-5,0.1157047790911747,0.0]
86.0,[0.00016200374375330282,0.0,-3.223495544564988e-5,0.11574172731343423,0.0]
87.0,[0.00016579330501069003,0.0,-3.437842603185952e-5,0.11698659818648592,0.0]
88.0,[0.00016674069532503683,0.0,-3.4413953168647524e-5,0.11700080904120112,0.0]
89.0,[0.0002472688720445148,0.0,-8.705332750954162e-5,0.14510514271629896,0.0]
90.0,[0.00024632148173016805,0.0,-8.784676689780706e-5,0.14515440701264498,0.0]
91.0,[0.00017147764689677084,0.0,-3.7469286932415954e-5,0.11842094712240697,0.0]
92.0,[0.00016863547595373044,0.0,-3.685348322809053e-5,0.11838589368077615,0.0]
93.0,[0.00016579330501069003,0.0,-3.4698170262951564e-5,0.11714575975929618,0.0]
94.0,[0.00016674069532503683,0.0,-3.4638958368304884e-5,0.11713154890458098,0.0]
95.0,[0.00016484591469634322,0.0,-3.4544219336870206e-5,0.11706996853414844,0.0]
96.0,[0.00016389852438199642,0.0,-3.4544219336870206e-5,0.11706996853414844,0.0]
97.0,[0.00016579330501069003,0.0,-3.4496849821152864e-5,0.1170652315825767,0.0]
